pop_2013,pop_2013_sqmi,median_age,num_households,avg_household_size,obesity_prevalence,diabetes,num_pharmacies
58370,26.8,44.5,24300,2.35,14961,4339,8
35217,130.8,44.2,15088,2.32,6951,2338,4
17632,4.0,47.9,7825,2.21,5008,1554,6
154726,43.5,39.9,62966,2.33,39743,13519,39
53273,13.0,43.5,21927,2.35,13466,4750,10
71762,10.5,45.3,30961,2.26,19367,7099,19
34736,73.1,48.1,15149,2.24,6762,2410,5
283479,307.1,41.0,117339,2.32,53108,19664,71
40034,106.0,46.1,17258,2.22,8650,2640,9
33075,12.0,46.0,14302,2.24,8105,3130,11
54932,32.5,46.2,24221,2.2,10908,3958,12
147522,225.4,36.3,57080,2.48,30499,8713,1
1170159,1928.3,35.9,475913,2.37,211395,62139,1
406096,692.5,36.7,152060,2.6,86929,23193,2
153041,110.1,33.4,56232,2.53,32919,9448,1
45776,15.0,33.3,16846,2.51,10995,3190,1
59661,119.2,33.1,21542,2.57,15062,5572,1
80367,112.4,36.8,31090,2.46,20348,7556,1
59940,116.1,36.0,23487,2.49,16058,7917,1
167126,336.2,35.0,57748,2.78,44202,15031,1
144947,179.8,36.1,52836,2.57,39588,14037,1
99292,133.9,35.8,35829,2.61,27292,5819,1
319351,4839.4,34.1,142057,2.16,83788,27968,72
2174,8.1,47.3,944,2.24,400,353,1
20738,49.0,40.8,7951,2.55,5053,2113,4
12908,30.3,39.9,3839,2.43,3757,1318,3
10359,23.6,41.7,4204,2.36,2499,815,3
4827,11.0,39.0,1880,2.54,1078,293,2
9626,22.4,41.2,3676,2.51,2175,1300,1
3771,8.3,43.5,1560,2.39,646,201,2
25649,52.6,38.0,9342,2.46,7650,2889,6
12424,25.0,41.0,4898,2.46,3220,1703,4
6849,13.9,42.4,2674,2.45,1411,805,3
4059,8.0,43.6,1708,2.37,1024,516,1
7896,15.6,45.7,3271,2.37,1989,924,2
9616,23.4,53.1,4371,2.19,2486,799,1
10229,21.7,39.1,3981,2.37,2499,528,3
229675,562.2,36.2,87217,2.51,58292,18070,51
54901,99.6,26.7,16004,2.64,11934,2837,7
13927,27.9,44.9,5838,2.37,3463,788,4
15927,38.0,37.8,5532,2.58,4921,1325,2
6327,12.6,42.5,2581,2.39,1285,339,3
23928,44.4,36.3,8404,2.73,4887,1390,2
8602,15.1,40.1,3214,2.58,2680,429,1
32520,63.7,49.9,13690,2.33,7985,3272,5
10249,20.1,38.7,3874,2.43,2476,1312,3
39377,64.2,39.0,14869,2.56,9086,3292,9
28932,65.2,39.0,11377,2.41,7633,3416,10
36797,62.0,37.3,13062,2.7,7363,3665,8
25827,45.4,28.5,9877,2.3,5173,1548,9
12260,22.6,43.2,4868,2.43,2374,1140,2
17685,31.1,38.6,6554,2.45,4557,883,2
4406,14.3,41.4,1796,2.44,996,439,1
16679,30.7,41.4,6524,2.54,4021,1622,3
15453,29.5,45.0,6250,2.4,3522,1267,5
12362,20.7,40.3,4929,2.5,2262,1318,3
91756,214.8,38.2,36103,2.45,21888,8354,23
6389,12.6,41.1,2559,2.43,1285,452,1
9236,17.4,42.7,3705,2.46,2429,1094,2
12734,20.5,42.4,5299,2.38,2995,1500,3
7166,14.0,42.1,2933,2.4,1499,742,1
59526,95.0,38.9,22021,2.6,12336,4410,12
90455,218.1,36.8,34509,2.45,25551,8001,25
54848,84.2,40.6,20755,2.41,11970,4186,16
18939,27.7,40.7,7499,2.48,3867,2121,5
6637,10.2,41.0,2740,2.41,1464,1007,1
33703,77.0,39.5,12339,2.61,8995,1827,5
39612,93.0,38.8,15538,2.49,10172,4748,12
31344,48.8,37.7,11677,2.54,8785,2957,10
17761,40.7,40.9,6700,2.55,4132,1572,2
14311,22.7,41.9,5637,2.49,3763,1967,3
117145,182.7,35.1,45639,2.52,33464,9632,32
42837,62.4,37.1,16428,2.52,11372,4692,9
281166,414.7,35.8,114244,2.31,71696,24416,82
15338,28.5,41.1,5871,2.36,4942,1618,7
677674,1099.3,36.1,274804,2.41,164483,56751,144
23154,40.3,40.6,8957,2.59,5975,2480,5
18123,35.8,42.6,7040,2.54,4707,1767,4
9146,12.6,42.3,3669,2.4,2003,686,2
8667,12.9,43.7,3638,2.39,2016,907,2
25362,33.3,39.1,9355,2.58,5837,2226,5
24752,41.3,40.2,9917,2.47,7178,1573,5
12472,20.1,41.9,4847,2.52,3014,2182,1
36533,46.2,41.8,14057,2.51,10114,3387,10
22198,30.3,43.5,9405,2.34,5125,1791,9
76723,190.8,37.6,29722,2.39,20455,6142,21
19263,25.6,51.3,8449,2.23,5138,1791,4
11180,14.1,45.3,4527,2.38,2460,722,3
9911,14.1,47.8,4161,2.31,2689,1020,3
25131,33.8,40.7,9831,2.48,7293,3009,5
9624,12.7,48.7,4194,2.29,1748,693,1
14130,23.1,39.2,5328,2.53,2941,2054,1
20905,34.1,46.1,8450,2.4,5345,439,5
17912,34.9,37.0,7350,2.46,4421,2386,6
14173,33.0,39.3,5180,2.41,4016,2101,4
19521,40.3,39.1,7357,2.54,5312,1218,5
80870,143.4,36.2,29077,2.64,19055,7163,17
15555,19.1,42.4,6412,2.38,3889,973,5
76973,131.2,36.3,29848,2.41,18669,7756,33
54089,64.9,29.8,19311,2.53,13264,4200,8
5651,10.3,46.3,2498,2.24,1623,942,2
41228,44.4,39.5,16192,2.46,10968,5247,12
18551,27.1,39.9,6560,2.49,5225,2186,5
66838,147.3,38.2,23981,2.45,19651,4788,22
101156,144.0,37.8,37150,2.65,27543,8094,19
53740,83.9,35.5,18906,2.75,14582,7453,9
36069,47.0,39.2,14081,2.5,8114,3927,8
45952,68.2,33.9,17564,2.4,11678,3822,14
21299,25.4,40.0,8396,2.42,4202,938,7
222048,334.5,37.6,81700,2.65,54176,21454,31
13518,17.5,45.8,5717,2.34,3488,1336,3
33793,52.9,40.6,13022,2.51,7833,2594,7
13661,16.8,45.0,5587,2.43,3132,1880,4
4839,10.3,46.5,2133,2.26,1022,532,1
10671,19.3,42.6,4378,2.37,2027,1083,4
23904,27.2,28.6,8545,2.31,5926,1467,4
168914,244.4,29.6,64077,2.4,34400,9683,46
15953,21.1,42.8,6338,2.44,2579,1596,5
44636,52.7,37.6,16333,2.48,12664,5767,6
23715,31.0,38.2,8883,2.46,5995,1933,8
102407,110.0,39.4,39170,2.57,25471,10731,23
6730,8.3,44.6,2778,2.37,1566,680,1
997467,1903.8,39.9,404765,2.42,210009,84874,251
4968,9.6,45.1,2132,2.31,1055,508,2
26491,22.5,42.1,10057,2.4,6095,2789,6
25466,36.5,38.4,9590,2.44,6793,3030,8
8396,8.4,43.3,3448,2.42,2195,862,1
17064,20.0,41.2,6744,2.48,4423,1385,6
43405,62.1,40.6,17614,2.38,11951,5009,16
45183,63.7,48.5,19068,2.27,8404,4276,15
7817,10.2,45.7,3242,2.35,1668,817,1
30197,36.4,41.2,12255,2.39,7949,3491,9
9306,13.3,42.3,3865,2.38,2491,1358,3
18997,27.2,40.4,7742,2.41,4768,1973,3
372739,629.6,36.8,134274,2.64,85968,22843,82
32200,58.8,39.3,12837,2.44,9035,4010,10
2173,1.5,44.9,887,2.28,505,147,1
34860,48.5,41.3,14932,2.22,6679,2102,8
9158,12.4,45.8,4018,2.11,2141,1083,4
2322,1.6,44.5,822,2.36,648,269,2
1750,1.2,50.4,798,2.14,355,247,1
3384,2.0,50.3,1587,2.08,1045,211,1
2959,1.8,42.5,1233,2.32,777,209,1
5356,2.8,41.4,2015,2.26,1017,204,2
5977,4.8,45.4,2347,2.37,1533,396,1
11922,7.2,46.1,4512,2.48,2410,642,2
3642,2.0,46.6,1590,2.27,778,139,1
4524,2.4,48.9,2046,2.19,1015,296,1
9067,3.8,43.4,3749,2.26,2007,581,2
1772,0.5,49.1,755,2.26,378,130,1
4268,3.5,49.8,1911,2.2,918,295,1
1150,0.3,50.1,532,2.16,315,113,1
10015,4.8,41.3,4167,2.33,2540,626,3
9776,5.4,45.6,3796,2.37,1790,627,1
16220,5.6,35.1,6275,2.47,4358,1205,5
29392,17.8,41.3,11432,2.46,6342,2044,10
6062,2.6,45.8,2450,2.29,1080,292,2
15643,5.6,45.4,7310,2.12,3105,971,6
1697,0.6,49.0,774,2.22,335,118,1
10064,4.9,48.2,4571,2.19,2321,515,1
8093,2.2,49.8,3560,2.11,1587,418,2
1867,0.8,50.1,806,2.13,381,103,1
6120,3.7,42.8,2285,2.41,1553,541,2
152425,57.5,38.2,60672,2.38,31377,9691,36
7031,3.0,45.1,2466,2.23,1786,649,3
11789,3.1,42.1,5031,2.24,2932,988,4
6580,1.6,35.1,2357,2.66,1745,608,2
41299,17.2,45.9,16933,2.35,8685,2156,12
10681,4.5,31.8,3553,2.88,2535,1242,1
82881,30.6,38.8,33809,2.33,16775,5456,20
92422,35.1,32.6,36550,2.36,13417,3491,23
20256,5.5,48.9,8843,2.2,4055,1484,5
5727,1.4,41.6,2294,2.48,1243,420,2
111611,42.6,34.4,45926,2.3,19920,5493,33
7392,1.5,46.3,3198,2.26,1739,676,2
11719,4.2,49.8,5121,2.19,2284,967,2
4231,0.8,46.7,1819,2.27,1067,324,1
11548,2.7,47.6,5099,2.18,2680,1040,2
65658,18.8,40.9,26694,2.3,13531,4168,14
9361,1.9,36.5,3395,2.7,2018,789,3
13051,2.6,30.5,4004,3.18,3230,1244,2
94504,18.0,41.2,37504,2.4,16196,5252,21
9367,1.7,42.0,4014,2.19,1966,577,2
21362,79.9,32.8,7218,2.88,5398,1524,4
5275,14.0,43.2,1847,2.31,1494,408,2
166296,672.1,33.0,58102,2.71,40742,11569,38
10674,25.7,34.2,3618,2.88,2250,479,2
2772,6.4,49.2,1230,2.22,680,156,1
5384,12.2,45.3,2212,2.39,1371,404,2
60050,108.8,35.8,22196,2.59,15111,4457,14
1929,4.4,48.2,867,2.21,515,174,1
6572,12.7,43.2,2681,2.39,1806,482,1
31319,55.5,37.7,12466,2.39,8427,2515,12
9190,17.0,42.9,3779,2.37,2491,678,2
3494,6.1,48.7,1519,2.22,923,296,1
5200,9.0,49.1,2296,2.21,1268,344,2
4439,7.7,49.4,2079,2.14,1145,342,1
3806,6.6,47.0,1604,2.28,909,288,2
3234,5.6,48.0,1406,2.25,718,153,1
7566,13.1,46.6,3348,2.22,2006,529,4
6532,11.4,42.9,2649,2.43,1593,444,1
9613,21.7,29.2,3507,2.38,2375,718,2
17120,29.7,37.9,6266,2.47,3831,1188,5
14331,24.9,36.3,5131,2.57,3711,1194,4
3150,5.5,47.6,1392,2.22,828,263,2
4278,7.5,46.8,1922,2.19,992,343,3
6308,11.0,43.1,2625,2.38,1770,526,1
2551,4.5,46.1,1069,2.32,691,180,1
5938,10.3,46.1,2483,2.28,1428,565,1
13699,23.8,42.1,5564,2.32,3725,1131,5
2146,3.8,50.3,935,2.16,434,108,1
35560,61.8,37.1,13939,2.43,8654,2784,14
9092,15.8,43.7,3756,2.4,2337,630,4
7249,12.6,42.2,2911,2.46,1687,594,3
535556,1576.5,33.6,202411,2.49,119958,35009,137
6926,17.5,29.4,2158,3.19,1922,837,2
9282,17.0,42.5,3563,2.53,2049,633,1
20215,51.4,40.8,7761,2.54,4803,1697,3
3704,8.3,45.0,1525,2.36,826,307,1
5994,12.4,42.1,2370,2.5,1487,382,1
8424,14.3,44.2,3391,2.42,2004,564,2
7293,17.7,41.0,2952,2.29,1989,539,2
6847,13.8,47.0,2906,2.32,1795,531,2
5504,8.0,45.4,2336,2.32,1327,428,3
11060,15.4,41.9,4663,2.29,2824,726,3
4953,6.9,47.3,2185,2.23,1226,369,2
36723,67.6,40.3,14990,2.38,9447,3214,10
25617,45.3,41.0,9698,2.57,7469,2194,2
8329,15.0,47.0,3718,2.21,2234,641,1
8788,11.8,44.4,3539,2.46,2267,548,2
293736,347.0,32.7,113373,2.4,65175,17115,69
22272,25.9,43.7,9422,2.31,6305,1789,6
32918,48.1,38.2,12658,2.51,8433,2217,11
6656,7.8,46.4,2841,2.33,1536,447,3
37595,50.4,39.0,14928,2.42,9424,3052,7
21039,27.7,41.4,8040,2.54,5318,1672,4
15966,25.8,42.9,6362,2.42,4695,1462,4
3995,4.5,43.8,1681,2.32,928,218,1
3877,4.1,45.9,1673,2.26,1069,329,1
2027,2.2,47.5,897,2.19,487,103,1
47144,48.3,32.1,18037,2.43,10584,3018,17
2971,3.4,43.8,1239,2.36,545,231,1
2760,2.8,43.3,1168,2.26,867,221,1
24540,24.1,36.1,8899,2.7,5949,1900,6
11458,10.6,41.3,4738,2.35,2929,901,4
8426,7.6,47.0,3753,2.22,1891,608,3
9987,8.3,40.4,4298,2.3,2175,653,4
7853,15.9,42.4,3151,2.43,2251,912,3
3120,2.5,47.9,1449,2.14,878,196,1
9281,6.6,33.2,3684,2.19,1861,506,5
5078,3.6,43.6,2085,2.38,1362,494,2
8605,7.6,46.6,3647,2.32,1997,638,2
2055,1.2,49.7,961,2.1,440,189,1
10408,4.3,46.0,4447,2.31,2403,770,3
10836,4.2,45.3,4714,2.29,2910,894,3
36588,14.2,39.1,15025,2.37,9713,3118,7
5421,2.2,46.1,2380,2.25,1263,498,1
5737,1.0,45.3,2530,2.24,1207,344,1
401532,449.9,39.2,155466,2.53,87652,29827,1
675683,578.9,35.9,266000,2.45,119003,35777,1
472039,8117.6,38.3,165516,2.78,99646,39646,1
1608915,70597.4,36.5,763846,1.99,202882,90397,2
1403759,33383.1,32.9,483449,2.77,307251,132105,1
160500,241.2,39.1,64702,2.38,37261,10861,1
376071,448.8,36.5,125925,2.86,82568,26198,1
468889,582.0,38.5,187686,2.4,103501,37986,3
2263697,20720.3,37.2,780117,2.82,427417,200067,1
917093,876.3,40.4,383164,2.32,213805,78870,4
112780,40.2,37.3,41605,2.43,27021,8886,1
1346158,4672.1,41.1,448528,2.94,244529,89534,4
45301,167.9,38.4,17395,2.56,11236,3208,10
38639,146.7,40.8,14425,2.5,10041,5279,7
20799,87.2,49.0,8989,2.24,5549,2535,5
21442,80.5,37.8,7313,2.6,4624,1909,2
59039,227.7,37.2,22058,2.58,14391,4927,15
17954,72.6,42.4,6664,2.31,3781,2573,5
39485,97.7,41.5,15826,2.47,8792,2811,8
136669,340.7,33.2,51457,2.41,24297,6198,45
284540,955.0,33.4,109348,2.35,57343,15348,73
23783,55.5,43.6,9190,2.43,5162,1109,2
82296,220.2,38.6,31962,2.49,19505,8622,18
187718,514.3,36.5,65666,2.69,51874,16854,52
12549,36.5,41.9,4665,2.6,3996,1354,2
53439,170.5,28.7,20403,2.24,7094,2982,15
154750,355.8,38.5,59960,2.45,38220,14843,34
38859,115.1,41.4,15486,2.46,11118,3176,5
14851,85.7,44.8,6059,2.4,4243,1811,5
11312,47.8,45.9,4778,2.31,2270,972,3
47764,104.8,42.7,19416,2.42,11819,4842,9
10918,49.5,49.5,4660,2.25,2738,539,3
42071,157.7,42.5,16245,2.52,13177,5089,11
9203,30.5,44.2,3701,2.37,2832,462,3
80036,260.4,40.5,30343,2.56,22894,7470,22
21144,47.6,44.9,8321,2.38,6515,1123,4
36006,112.4,38.4,13614,2.53,10333,4851,13
13024,34.6,43.9,5526,2.37,3978,1647,5
357898,866.8,37.1,141163,2.41,90326,30801,113
154941,374.9,39.5,60887,2.5,36845,12508,49
98953,211.3,40.3,38555,2.49,27817,11267,26
51161,130.4,31.0,16532,2.8,13896,4443,10
209661,576.2,38.8,79867,2.54,47357,16996,67
93217,162.8,42.2,38693,2.39,25693,10127,24
17870,57.1,45.5,7644,2.31,4188,2535,3
61473,152.1,40.5,23589,2.48,13108,4449,16
33743,88.7,48.7,14394,2.22,7316,2637,8
83243,175.5,41.4,33388,2.46,24655,11796,21
27755,64.7,45.5,11755,2.29,5568,3692,7
59302,147.4,41.0,24327,2.39,14453,7712,17
15475,69.6,45.7,6685,2.3,3253,2042,6
58162,108.4,39.8,20628,2.57,16805,4917,14
500984,761.7,36.3,196628,2.41,129281,37325,113
62803,127.0,39.0,23023,2.56,17534,4118,10
27021,50.3,39.4,9755,2.51,7575,3641,6
123669,222.2,36.6,47831,2.5,35008,15309,30
140196,267.6,38.9,53140,2.52,39268,14669,24
73701,137.4,41.2,29914,2.43,16722,8089,30
56790,112.1,39.6,21680,2.54,15143,6542,12
211161,330.2,36.1,67864,2.94,50593,14127,49
110563,294.7,45.4,45448,2.32,25446,8797,33
46101,103.3,41.7,17838,2.43,13955,4468,12
122424,203.5,33.5,41594,2.68,30606,10884,20
143127,181.2,39.4,55373,2.54,34422,12189,30
28343,56.5,40.2,10544,2.53,7515,3035,7
24784,69.4,41.0,9334,2.4,8555,4000,9
